id,transcript,cefr,situation,focus_areas,length_sec,patterns
# NEW PATTERN: "lemme" (let me)
clip-practice-new-001,"Lemme think about it",A1,general,"connected_speech,reductions",3,"lemme"
clip-practice-new-002,"Lemme check my schedule",A1,work_meetings,"connected_speech,reductions",4,"lemme"
clip-practice-new-003,"Lemme grab my coat",A1,daily,"connected_speech,reductions",3,"lemme"
clip-practice-new-004,"Lemme see that",A1,general,"connected_speech,reductions",3,"lemme"
clip-practice-new-005,"Lemme know when you're free",A2,general,"connected_speech,reductions",4,"lemme"
clip-practice-new-006,"Lemme help you with that",A1,daily,"connected_speech,reductions",4,"lemme"
clip-practice-new-007,"Lemme get back to you",A2,work_meetings,"connected_speech,reductions",4,"lemme"
clip-practice-new-008,"Lemme finish this first",A1,general,"connected_speech,reductions",3,"lemme"
clip-practice-new-009,"Lemme ask my boss",A2,work_meetings,"connected_speech,reductions",3,"lemme"
clip-practice-new-010,"Lemme give you a hand",A1,daily,"connected_speech,reductions",4,"lemme"

# NEW PATTERN: "gimme" (give me)
clip-practice-new-011,"Gimme a minute",A1,general,"connected_speech,reductions",3,"gimme"
clip-practice-new-012,"Gimme a call later",A1,daily,"connected_speech,reductions",4,"gimme"
clip-practice-new-013,"Gimme a hand with this",A1,general,"connected_speech,reductions",4,"gimme"
clip-practice-new-014,"Gimme a break",A1,general,"connected_speech,reductions",3,"gimme"
clip-practice-new-015,"Gimme some time",A1,general,"connected_speech,reductions",3,"gimme"
clip-practice-new-016,"Gimme the details",A2,work_meetings,"connected_speech,reductions",3,"gimme"
clip-practice-new-017,"Gimme your number",A1,daily,"connected_speech,reductions",3,"gimme"
clip-practice-new-018,"Gimme a sec",A1,general,"connected_speech,reductions",2,"gimme"
clip-practice-new-019,"Gimme a chance to explain",A2,general,"connected_speech,reductions",4,"gimme"
clip-practice-new-020,"Gimme some space",A1,general,"connected_speech,reductions",3,"gimme"

# NEW PATTERN: "dunno" (don't know)
clip-practice-new-021,"I dunno what to do",A1,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-022,"I dunno where it is",A1,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-023,"I dunno if I can make it",A2,daily,"connected_speech,reductions",5,"dunno"
clip-practice-new-024,"I dunno why he left",A2,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-025,"I dunno how to fix it",A2,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-026,"I dunno when she's coming",A2,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-027,"I dunno who told you that",A2,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-028,"I dunno the answer",A1,general,"connected_speech,reductions",3,"dunno"
clip-practice-new-029,"I dunno what you mean",A1,general,"connected_speech,reductions",4,"dunno"
clip-practice-new-030,"I dunno about that",A1,general,"connected_speech,reductions",3,"dunno"

# NEW PATTERN: "hafta" (have to)
clip-practice-new-031,"I hafta go now",A1,general,"connected_speech,reductions",3,"hafta"
clip-practice-new-032,"You hafta see this",A1,general,"connected_speech,reductions",3,"hafta"
clip-practice-new-033,"We hafta finish today",A2,work_meetings,"connected_speech,reductions",4,"hafta"
clip-practice-new-034,"She hafta leave early",A1,general,"connected_speech,reductions",4,"hafta"
clip-practice-new-035,"I hafta be there by noon",A2,general,"connected_speech,reductions",5,"hafta"
clip-practice-new-036,"You hafta try this",A1,daily,"connected_speech,reductions",3,"hafta"
clip-practice-new-037,"We hafta talk",A1,general,"connected_speech,reductions",3,"hafta"
clip-practice-new-038,"I hafta work late tonight",A2,work_meetings,"connected_speech,reductions",5,"hafta"
clip-practice-new-039,"You hafta believe me",A1,general,"connected_speech,reductions",3,"hafta"
clip-practice-new-040,"I hafta get going",A1,general,"connected_speech,reductions",3,"hafta"

# NEW PATTERN: "whaddya" (what do you)
clip-practice-new-041,"Whaddya think?",A1,general,"connected_speech,reductions",3,"whaddya"
clip-practice-new-042,"Whaddya mean?",A1,general,"connected_speech,reductions",3,"whaddya"
clip-practice-new-043,"Whaddya want?",A1,general,"connected_speech,reductions",3,"whaddya"
clip-practice-new-044,"Whaddya think about this?",A2,general,"connected_speech,reductions",4,"whaddya"
